source_id,prong,topic_cluster,source_title_or_owner,url,format,source_category,source_level,holistika_reliability_score,external_perceived_credibility_score,control_confidence_level,decision_use,notes
SRC-OPS-P4I-001,A,vault_canonicals,OPERATIONS_PROCESS_CATALOG.yaml,docs/references/hlk/v3.0/Admin/O5-1/Operations/canonicals/OPERATIONS_PROCESS_CATALOG.yaml,internal_canonical,CORPINT,5.1,5,3,Safe,def-area,Operations vault asset; sub=canonicals
SRC-OPS-P4I-002,A,vault_engagement,SOP-ENG_DISCOVERY_QUESTIONNAIRE_001.md,docs/references/hlk/v3.0/Admin/O5-1/Operations/Engagement/canonicals/SOP-ENG_DISCOVERY_QUESTIONNAIRE_001.md,internal_canonical,CORPINT,5.1,5,3,Safe,def-area,Operations vault asset; sub=Engagement
SRC-OPS-P4I-003,A,vault_engagement,SOP-ENG_ESTIMATION_DISCIPLINE_001.md,docs/references/hlk/v3.0/Admin/O5-1/Operations/Engagement/canonicals/SOP-ENG_ESTIMATION_DISCIPLINE_001.md,internal_canonical,CORPINT,5.1,5,3,Safe,def-area,Operations vault asset; sub=Engagement
SRC-OPS-P4I-004,A,vault_engagement,SOP-ENG_ENGAGEMENT_DESIGN_001.md,docs/references/hlk/v3.0/Admin/O5-1/Operations/Engagement/SOP-ENG_ENGAGEMENT_DESIGN_001.md,report,CORPINT,5.1,5,3,Safe,def-area,Operations vault asset; sub=Engagement
SRC-OPS-P4I-005,A,vault_engagement,SOP-ENG_PROPOSAL_001.md,docs/references/hlk/v3.0/Admin/O5-1/Operations/Engagement/SOP-ENG_PROPOSAL_001.md,report,CORPINT,5.1,5,3,Safe,def-area,Operations vault asset; sub=Engagement
SRC-OPS-P4I-006,A,vault_operations_area_charter.md,OPERATIONS_AREA_CHARTER.md,docs/references/hlk/v3.0/Admin/O5-1/Operations/OPERATIONS_AREA_CHARTER.md,report,CORPINT,5.1,5,3,Safe,def-area,Operations vault asset; sub=OPERATIONS_AREA_CHARTER.md
SRC-OPS-P4I-007,A,vault_operations_delivery_discipline.md,OPERATIONS_DELIVERY_DISCIPLINE.md,docs/references/hlk/v3.0/Admin/O5-1/Operations/OPERATIONS_DELIVERY_DISCIPLINE.md,report,CORPINT,5.1,5,3,Safe,def-area,Operations vault asset; sub=OPERATIONS_DELIVERY_DISCIPLINE.md
SRC-OPS-P4I-008,A,vault_pmo,BOOTSTRAPPING_PLAN.md,docs/references/hlk/v3.0/Admin/O5-1/Operations/PMO/canonicals/business-strategy/BOOTSTRAPPING_PLAN.md,internal_canonical,CORPINT,5.1,5,3,Safe,def-area,Operations vault asset; sub=PMO
SRC-OPS-P4I-009,A,vault_pmo,CHANNEL_STRATEGY.md,docs/references/hlk/v3.0/Admin/O5-1/Operations/PMO/canonicals/business-strategy/CHANNEL_STRATEGY.md,internal_canonical,CORPINT,5.1,5,3,Safe,def-area,Operations vault asset; sub=PMO
SRC-OPS-P4I-010,A,vault_pmo,COMPETITIVE_LANDSCAPE.md,docs/references/hlk/v3.0/Admin/O5-1/Operations/PMO/canonicals/business-strategy/COMPETITIVE_LANDSCAPE.md,internal_canonical,CORPINT,5.1,5,3,Safe,def-area,Operations vault asset; sub=PMO
SRC-OPS-P4I-011,A,vault_pmo,GOVERNANCE_MOAT.md,docs/references/hlk/v3.0/Admin/O5-1/Operations/PMO/canonicals/business-strategy/GOVERNANCE_MOAT.md,internal_canonical,CORPINT,5.1,5,3,Safe,def-area,Operations vault asset; sub=PMO
